date,rating,review,year,month,weekday
2025-07-22,4,historia aburrida casi quedo dormido slo porque el protagonista es pattinson la odio,2025,7,1
2025-07-22,5,trump bad,2025,7,1
2025-07-22,6,imagina casi follarte dos robert pattinsons esa fotocopiadora era tan mala tbh,2025,7,1
2025-07-22,7,fun performance pat,2025,7,1
2025-06-29,6,decent film interesting acting performance sure super corny times quite expecting trailers film could watch without feeling agrieved,2025,6,6
2025-07-21,8,dragged bit fuck heavy,2025,7,0
2025-07-23,8,gustaria saber qu se le pasa por la cabeza bong joon ho,2025,7,2
2025-07-22,7,pattinson um atorzasso,2025,7,1
2025-07-22,6,tinha um potencial de crtica muito forte mas senti que teve um medo meio processo e potencial sumiu,2025,7,1
2025-07-22,6,bem caracterstico direitor esse mix de gneros um final aconchegante totalmente avesso seu comeo,2025,7,1
2025-07-22,5,feels like movie never finds footing much trying say ended rushing themes absolutely hated narration,2025,7,1
2025-07-22,8,unique combination comedy starship troopers level satire political systems genuinely good story robert pattinson phenomenal actor cute digress really brings movie life spoilers go watch movie go without expectations happy watched movie,2025,7,1
2025-07-22,5,pattinson best mickey 17 needs die get reprinted,2025,7,1
2025-07-22,8,pretty good slightly odd overall good movie,2025,7,1
2025-07-22,8,esse filme meme cavalo,2025,7,1
2025-07-23,2,une toile pour le gros chque que joon ho russi se faire sur le dos de ces yankees imprialistes en change du pire film de sa carrire,2025,7,2
2025-06-29,8,hits beats bong joon ho movie barely veiled sociopolitical commentary tonal whiplash laugh loud funny deep discomfort sudden shocking violence mickey 17 well thought scifi intriguing premise outstanding performances everyone involved especially robert pattinson sorta dual role mark ruffalo playing space trump,2025,6,6
2025-07-22,2,ts boring took two days kinda finish sorry,2025,7,1
2025-07-22,10,dont even know say good,2025,7,1
2025-07-22,7,trump verso gostoso,2025,7,1
2025-07-22,6,surpreendeu positivamente aborda questes atuais de forma muito inteligente porm achei muito grande e com um ritmo um pouco cansativo mas valeu experincia,2025,7,1
2025-07-22,6,meio que robert pattinson,2025,7,1
2025-07-22,10,ni si quiera saba de que se trataba est pelcula tena idea de que esperar pero recomendada una historia muy interesante algo que e visto poco,2025,7,1
2025-07-22,8,bao gostei,2025,7,1
2025-07-22,8,pretty fun comedic film enjoyed first half lot last still worth watch,2025,7,1
2025-07-22,8,really enjoyed surprised wasnt rated higher average,2025,7,1
2025-07-22,10,gooooood q buena historia,2025,7,1
2025-07-22,4,filme maconhado,2025,7,1
2025-07-23,7,chef doeuvre effets vfx de qualit et adaptation trs bonne le scnario adapt garde toute sa gravit et sattache trs vite aux personnages je recommande seulement pour les personnes qui aiment ce genre de film sf fantastique etc,2025,7,2
2025-07-23,6,surcot,2025,7,2
2025-03-22,8,ohh forgot review one saw bit ago hollywood theatre thought would similar moon managed something different similar concept also someone enjoyed snowpiercer micky 17 gave similar vibe boldly silly dealing heavy topics like labor exploitation thought pattinson great job playing mickeys loved idea every iteration slightly,2025,3,5
2025-03-28,8,fun movie robby p sure act,2025,3,4
2025-07-23,8,robert pattinson uses everything real voice accent,2025,7,2
2025-07-22,7,35 stars tottenham references,2025,7,1
2025-07-22,8,rob wrong,2025,7,1
2025-07-22,8,need creepers plushie form rn cute,2025,7,1
2025-07-22,2,bit ambitious get lost trying realize visions,2025,7,1
2025-07-22,10,ok la acabo pero pasara lo mismo por maltratar una rata ya ahorita la trama est llamando mucho la atencin promete mucho solo hay que ver si sigue asi cool te amo robert pattinson,2025,7,1
2025-07-22,7,movies weirddds,2025,7,1
2025-07-22,9,weird loved,2025,7,1
2025-07-22,7,started slow picked half hour really funny really enjoyed towards end,2025,7,1
2025-07-22,8,mickey 17 favorite,2025,7,1
2025-07-22,10,ugh love trump style politician cult like following right red hats,2025,7,1
